鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
汐止區,房地(土地+建物)+車位,新北市汐止區南興路91~120號,11.52,住,,,1030929,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070307,111.08,0,0,0,無,有,12120000,132727,坡道平面,36.34,2200000,本案為103年9月所簽訂之預售屋，權利人共2人,RPPPMLNLOHNFFDF58CA
汐止區,房地(土地+建物),新北市汐止區南興路91~120號,11.32,住,,,1040707,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070307,74.74,0,0,0,無,有,9520000,127375,,0.0,0,本案為104年7月所簽訂之預售屋,RPQPMLNLOHNFFDF68CA
汐止區,房地(土地+建物),新北市汐止區南興路61~90號,8.01,住,,,1031003,土地1建物1車位0,二層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070307,52.160000000000004,0,0,0,無,有,6470000,124041,,0.0,0,本案為103年10月所簽訂之預售屋,RPSPMLNLOHNFFDF88CA
汐止區,房地(土地+建物)+車位,新北市汐止區南興路91~120號,12.92,住,,,1030826,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070307,119.28,0,0,0,無,有,13950000,144080,坡道平面,36.34,2000000,本案為103年8月所簽訂之預售屋,RPQOMLNLOHNFFDF58CA
汐止區,房地(土地+建物),新北市汐止區南興路91~120號,9.92,住,,,1040513,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070307,64.77,0,0,0,無,有,8270000,127683,,0.0,0,本案為104年5月所簽訂之預售屋,RPRNMLNLOHNFFDF58CA
汐止區,房地(土地+建物),新北市汐止區南興路61~90號,8.42,住,,,1030813,土地1建物1車位0,三層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070307,54.92,0,0,0,無,有,7050000,128369,,0.0,0,本案為103年8月所簽訂之預售屋,RPSNMLNLOHNFFDF68CA
汐止區,房地(土地+建物),新北市汐止區南興路61~90號,8.42,住,,,1031124,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070307,54.92,0,0,0,無,有,6800000,123816,,0.0,0,本案為103年11月所簽訂之預售屋,RPTNMLNLOHNFFDF78CA
汐止區,房地(土地+建物)+車位,新北市汐止區南興路91~120號,11.42,住,,,1040729,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070307,110.56,0,0,0,無,有,11570000,130288,坡道平面,36.34,1900000,本案為104年7月所簽訂之預售屋,RPUNMLNLOHNFFDF88CA
汐止區,房地(土地+建物)+車位,新北市汐止區南興路91~120號,12.52,住,,,1030605,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070307,117.25,0,0,0,無,有,13870000,150414,坡道平面,36.34,1700000,本案為103年6月所簽訂之預售屋,RPVNMLNLOHNFFDF98CA
金山區,房地(土地+建物),新北市金山區信義路61~90號,49.21,住,,,1070508,土地4建物1車位0,四層,六層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1070312,158.55,3,2,2,有,有,8010000,50520,,0.0,0,,RPPPMLNKOHNFFDF48CA
汐止區,房地(土地+建物)+車位,新北市汐止區福德一路159巷1~30號,22.16,住,,,1070505,土地2建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840505,141.62,3,2,2,有,有,11700000,82615,坡道平面,45.17,0,,RPQNMLPKOHNFFDF58CA
汐止區,房地(土地+建物)+車位,新北市汐止區仁愛路77巷2弄1~30號,30.03,住,,,1070512,土地1建物1車位2,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950517,180.48000000000002,3,2,1,有,有,13550000,75078,坡道機械,0.0,0,,RPQQMLRJOHNFFDF98CA
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹二路91~120號,8.62,住,,,1070414,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050810,74.13999999999999,1,1,1,有,有,9120000,129234,坡道平面,19.82,2100000,,RPPNMLLKOHNFFDF08CA
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹二路61~90號,16.5,住,,,1070506,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050810,132.26999999999998,3,2,1,有,有,15080000,117906,坡道平面,23.03,2200000,,RPQNMLLKOHNFFDF18CA
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹二路61~90號,12.85,住,,,1070415,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050810,106.9,2,2,1,有,有,12550000,123405,坡道平面,23.03,2200000,,RPRNMLLKOHNFFDF28CA
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹二路61~90號,12.35,住,,,1070319,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050810,103.37,2,2,1,有,有,13000000,134429,坡道平面,23.03,2200000,,RPPNMLLLOHNFFDF18CA
淡水區,房地(土地+建物)+車位,新北市淡水區義山路一段211~240號,18.9,住,,,1070515,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041117,129.71,2,2,2,有,有,8000000,61676,坡道機械,25.14,0,,RPUNMLKMNHNFFEF68CA
