鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額(元),單價(元/平方公尺),車位類別,車位面積(平方公尺),車位總額(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
淡水區,建物,新北市淡水區英專路91~120號,0.0,住,,,1070513,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770205,23.47,8,8,8,有,無,有,9000,383,,0.0,0,,RPPNMLSLNHNFFEF09CC
淡水區,建物,新北市淡水區英專路91~120號,0.0,住,,,1070515,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770205,23.47,8,8,8,有,無,有,12000,511,,0.0,0,,RPQNMLSLNHNFFEF56CC
淡水區,房地(土地+建物),新北市淡水區新民街178巷42弄1~30號,6.01,住,,,1070526,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780815,34.41,1,0,1,有,有,有,5500,160,,0.0,0,,RPXNMLSLNHNFFEF27CC
淡水區,房地(土地+建物),新北市淡水區坪頂路52巷31~60號,20.17,住,,,1070527,土地1建物1車位0,二層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,0890418,107.34,0,0,0,無,無,無,21000,196,,0.0,0,,RPPOMLSLNHNFFEF56CC
淡水區,房地(土地+建物),新北市淡水區北新路141巷60弄1~30號,17.31,住,,,1070527,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830809,106.85,4,2,2,有,有,有,16000,150,,0.0,0,,RPPSMLSLNHNFFEF96CC
淡水區,建物,新北市淡水區英專路65巷1~30號,0.0,其他,,,1070506,土地0建物1車位0,三層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0961026,36.54,1,0,1,有,有,有,9500,260,,0.0,0,,RPVSMLSLNHNFFEF57CC
淡水區,建物,新北市淡水區淡金路二段61~90號,0.0,住,,,1070513,土地0建物1車位0,六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970917,81.12,2,2,1,有,有,有,15000,185,,0.0,0,,RPTTMLSLNHNFFEF47CC
汐止區,建物,新北市汐止區忠三街39巷31~60號,0.0,,山坡地保育區,丙種建築用地,1070515,土地0建物1車位3,全,4,透天厝,住家用,鋼筋混凝土造,0790915,551.46,6,3,5,有,有,有,75000,136,坡道平面,0.0,0,,RPQQMLSLNHNFFDF76CC
三重區,建物,新北市三重區三和路三段121~150號,0.0,住,,,1070525,土地0建物1車位0,一層,5,店面(店鋪),住家用,鋼筋混凝土造,0681226,100.0,0,0,0,無,無,無,38800,388,,0.0,0,,RPQQMLSLNHNFFGF07CC
樹林區,房地(土地+建物),新北市樹林區大雅路271~300號,14.6,商,,,1070525,土地1建物1車位0,一層,27,店面(店鋪),見其他登記事項,鋼筋混凝土造,0971030,209.01,1,0,1,有,有,無,120000,574,,0.0,0,,RPSOMLSLNHNFFIF27CC
汐止區,車位,新北市汐止區大同路三段601~630號,8.6,住,,,1070504,土地0建物0車位1,,,其他,,,,42.69,0,0,0,有,有,無,3000,,坡道平面,42.69,3000,1.坡道平面式車位含管理費(每個500元)。,RPTPMLSLNHNFFDF17EC
汐止區,房地(土地+建物),新北市汐止區大同路三段601~630號,6.64,住,,,1070514,土地1建物1車位0,十八層,32,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,75.11,2,1,1,有,有,無,13000,173,,0.0,0,含管理費(每坪50元)。,RPUPMLSLNHNFFDF27EC
汐止區,房地(土地+建物),新北市汐止區汐平路一段1~30號,8.89,住,,,1070516,土地1建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850322,102.08,2,1,1,有,無,有,11500,113,,0.0,0,1.含管理費(每戶1500元)。,RPXPMLSLNHNFFDF57EC
汐止區,建物,新北市汐止區新臺五路一段91~120號,0.0,工,,,1070425,土地0建物1車位0,二十二層,26,廠辦,工業用,鋼造,0831222,642.13,0,0,0,無,有,無,94000,146,,0.0,0,,RPRQMLSLNHNFFDF07EC
中和區,建物,新北市中和區永和路61~90號,0.0,住,,,1070519,土地0建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,0680426,84.7,0,1,1,有,無,無,23000,272,,0.0,0,,RPWQMLSLNHNFFHF77CC
中和區,建物,新北市中和區福祥路1~30號,0.0,住,,,1070520,土地0建物1車位0,十層,19,套房(1房1廳1衛),住家用,鋼筋混凝土造,0871120,54.15,1,1,1,有,有,有,14000,259,,0.0,0,,RPORMLSLNHNFFHF07CC
