編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLMLNHNFFAI88DC,21,223.53,見其他登記事項,鋼筋混凝土造,86年5月29日,十三層,
RPSNMLOLNHNFFAI88CC,40,90.04,住商用,鋼筋混凝土加強磚造,67年7月17日,二層,
RPOOMLLLNHNFFAI28CC,29,123.90,住家用,鋼筋混凝土造,78年7月3日,十二層,
RPTOMLQLNHNFFAI66CC,28,57.40,住家用,鋼筋混凝土造,79年5月22日,六層,
RPXNMLMLNHNFFAI66DC,20,84.41,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPWPMLSLNHNFFAI47EC,41,612.27,住商用,鋼筋混凝土造,66年3月9日,四層,
