編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLOJOHNFFAM56CA,25,10.91,見其他登記事項,鋼筋混凝土造,82年11月10日,十四層,
RPUNMLOJOHNFFAM56CA,25,5.48,見其他登記事項,鋼筋混凝土造,82年11月10日,十四層,
RPUNMLOJOHNFFAM56CA,25,.50,見其他登記事項,鋼筋混凝土造,82年11月10日,十四層,
RPUNMLOJOHNFFAM56CA,25,7.50,見其他登記事項,鋼筋混凝土造,82年11月10日,十四層,
RPSNMLMLOHNFFBM09CA,5,181.14,見其他登記事項,鋼筋混凝土造,102年9月11日,三層,一層 二層 三層 屋頂突出物 騎樓
RPQNMLRJOHNFFAM09CA,23,129.15,見其他登記事項,鋼筋混凝土造,84年8月19日,三層,一層 二層 三層 屋頂突出物 騎樓
RPTNMLTLNHNFFBM17CA,4,97.67,見其他登記事項,鋼筋混凝土造,103年4月23日,六層,一層 二層
RPTNMLTLNHNFFBM17CA,4,40.24,見其他登記事項,鋼筋混凝土造,103年4月23日,六層,
RPVNMLTLNHNFFBM37CA,24,306.31,住家用,鋼筋混凝土造,83年8月10日,五層,一層 二層 三層 四層 五層 騎樓
RPTNMLLKOHNFFCM09CA,13,117.71,見其他登記事項,鋼筋混凝土造,93年11月12日,十層,五層
RPTNMLLKOHNFFCM09CA,13,47.28,見其他登記事項,鋼筋混凝土造,93年11月12日,十層,
RPPNMLOJOHNFFEM09CA,41,79.20,住家用,鋼筋混凝土加強磚造,66年9月15日,二層,一層 二層
RPRNMLPKOHNFFAM09CA,39,105.96,住家用,鋼筋混凝土加強磚造,68年10月1日,二層,一層 二層
RPRNMLPLNHNFFAM09CA,,188.71,見其他登記事項,鋼筋混凝土造,106年11月7日,四層,一層 二層 三層 四層
RPTNMLSJOHNFFAM86CA,35,2012.20,見其他登記事項,見其他登記事項,72年5月11日,一層,一層 地下層
RPTNMLSJOHNFFAM86CA,33,1035.26,見其他登記事項,見其他登記事項,73年11月16日,二層,一層 二層
RPOOMLTLNHNFFCM86CA,22,135.37,住家用,鋼筋混凝土造,85年4月25日,三層,一層 二層 三層
RPQNMLSJOHNFFAM56CA,1,198.88,見其他登記事項,鋼筋混凝土造,105年11月2日,三層,一層 二層 三層 屋頂突出物
RPUNMLTLNHNFFBM27CA,4,97.50,見其他登記事項,鋼筋混凝土造,103年4月23日,六層,四層
RPUNMLTLNHNFFBM27CA,4,40.18,見其他登記事項,鋼筋混凝土造,103年4月23日,六層,
RPVNMLLMNHNFFAM56CA,39,91.35,住家用,鋼筋混凝土加強磚造,68年10月16日,二層,一層 二層
RPWNMLTLNHNFFAM37CA,24,76.49,住家用,鋼筋混凝土造,83年9月8日,五層,四層
RPWNMLTLNHNFFAM37CA,24,4.34,見其他登記事項,鋼筋混凝土造,83年9月8日,五層,
RPTNMLSLNHNFFAM96CA,25,64.66,住家用,鋼筋混凝土造,82年3月22日,八層,三層
RPTNMLSLNHNFFAM96CA,25,16.73,見其他登記事項,鋼筋混凝土造,82年3月22日,八層,
RPQNMLKMNHNFFAM58CA,38,96.27,住商用,鋼筋混凝土加強磚造,69年4月12日,二層,一層 二層 騎樓
RPPNMLPKOHNFFBM98CA,,174.51,見其他登記事項,鋼筋混凝土造,106年9月25日,四層,一層 二層 三層 四層
RPRNMLKMNHNFFAM68CA,38,97.04,住商用,鋼筋混凝土加強磚造,69年6月4日,二層,一層 二層 騎樓
RPPNMLLJOHNFFAM38CA,24,21.28,住家用,鋼筋混凝土造,83年4月27日,五層,一層
RPPNMLLJOHNFFAM38CA,24,4.20,住家用,鋼筋混凝土造,83年4月27日,五層,
RPPNMLTJOHNFFAM56CA,39,63.00,住家用,鋼筋混凝土加強磚造,67年11月6日,一層,一層
RPUNMLSLNHNFFAM07CA,4,268.66,見其他登記事項,鋼筋混凝土造,103年3月19日,四層,一層 二層 三層 四層
RPUNMLLKOHNFFCM56CA,24,25.30,見其他登記事項,鋼筋混凝土造,83年10月13日,十二層,四層
RPUNMLLKOHNFFCM56CA,24,13.28,見其他登記事項,鋼筋混凝土造,83年10月13日,十二層,
RPQNMLRLOHNFFCM86CA,23,96.07,見其他登記事項,鋼筋混凝土造,83年12月31日,十二層,七層
RPQNMLRLOHNFFCM86CA,23,23.41,見其他登記事項,鋼筋混凝土造,83年12月31日,十二層,
RPQNMLLMNHNFFDM98CA,,180.88,住家用,鋼筋混凝土造,107年1月31日,三層,一層 二層 三層
RPPNMLLMNHNFFAM68DA,34,155.59,住商用,鋼筋混凝土造,73年7月28日,二層,一層 二層 騎樓
RPQOMLLLOHNFFBM88CA,5,208.15,見其他登記事項,鋼筋混凝土造,102年1月29日,三層,一層 二層 三層
RPXNMLMKOHNFFCM96CA,17,70.30,農舍,鋼筋混凝土造,90年3月22日,二層,一層 二層
RPPNMLQJOHNFFCM09CA,27,155.02,住家用,鋼筋混凝土造,80年10月8日,四層,一層 二層 三層 四層
RPTNMLLMNHNFFCM56CA,24,35.21,見其他登記事項,鋼筋混凝土造,83年10月13日,十二層,十二層
RPTNMLLMNHNFFCM56CA,24,17.00,見其他登記事項,鋼筋混凝土造,83年10月13日,十二層,
RPWNMLPLOHNFFBM17CA,37,116.16,住家用,鋼筋混凝土加強磚造,70年3月9日,二層,一層 二層
RPQNMLLJOHNFFBM58CA,48,107.80,住家用,鋼筋混凝土加強磚造,59年9月12日,二層,一層 二層
RPRNMLQJOHNFFAM09CA,23,101.89,住家用,鋼筋混凝土造,84年2月16日,十三層,五層
RPRNMLQJOHNFFAM09CA,23,26.86,見其他登記事項,鋼筋混凝土造,84年2月16日,十三層,
RPUNMLPJOHNFFBM76CA,25,116.21,商業用,鋼筋混凝土造,81年12月31日,五層,一層 騎樓
RPUNMLPJOHNFFBM76CA,25,116.51,住家用,鋼筋混凝土造,81年12月31日,五層,二層
RPUNMLPJOHNFFBM76CA,25,13.46,住家用,鋼筋混凝土造,81年12月31日,五層,
RPUNMLPJOHNFFBM76CA,25,13.46,住家用,鋼筋混凝土造,81年12月31日,五層,
RPSOMLOJOHNFFAM09CA,28,115.15,住家用,鋼筋混凝土造,78年11月8日,二層,一層 二層 騎樓
RPSNMLPLOHNFFDM96CA,2,98.80,見其他登記事項,見其他登記事項,105年9月2日,一層,一層
RPSNMLPLOHNFFDM96CA,2,417.54,見其他登記事項,見其他登記事項,105年9月2日,二層,二層
RPSNMLPLOHNFFDM96CA,2,433.49,見其他登記事項,見其他登記事項,105年9月2日,三層,三層
RPSNMLPLOHNFFDM96CA,2,503.89,見其他登記事項,見其他登記事項,105年9月2日,五層,
RPSNMLLMNHNFFAM88CA,24,93.18,住家用,鋼筋混凝土造,83年11月9日,十六層,十一層
RPSNMLLMNHNFFAM88CA,24,14.11,見其他登記事項,鋼筋混凝土造,83年11月9日,十六層,
RPPOMLOJOHNFFBM88CA,,192.72,見其他登記事項,鋼筋混凝土造,106年12月20日,四層,一層 二層 三層 四層 見其他登記事項
RPPOMLOJOHNFFBM88CA,,.18,見其他登記事項,鋼筋混凝土造,106年12月20日,九層,
RPSNMLSJOHNFFAM76CA,2,198.88,見其他登記事項,鋼筋混凝土造,105年11月2日,三層,一層 二層 三層 屋頂突出物
RPOOMLOJOHNFFBM78CA,,193.87,見其他登記事項,鋼筋混凝土造,106年12月20日,三層,一層 二層 三層 見其他登記事項
RPOOMLOJOHNFFBM78CA,,.18,見其他登記事項,鋼筋混凝土造,106年12月20日,九層,
