編號,車位類別,車位價格,車位面積(平方公尺)
Serial number,berth category,berth price,berth area (square meter)
RPTPMLPLNHNFFCD78CA,坡道機械,0,
RPSQMLOJOHNFFAD38CA,坡道平面,0,
RPWOMLNLNHNFFAD58CA,坡道平面,800000,
RPOOMLNLNHNFFAD77CA,坡道平面,0,
RPPOMLQJOHNFFAD08CA,坡道機械,0,
RPTNMLNLNHNFFBD28CA,一樓平面,0,
RPOOMLQLNHNFFAD08CA,坡道平面,0,
RPXNMLQLNHNFFAD88CA,一樓平面,1100000,20.95
RPSNMLSLNHNFFBD68CA,坡道機械,0,
RPXOMLNKOHNFFAD68CA,坡道平面,0,23.79
RPWOMLOKOHNFFBD78CA,升降平面,900000,29.26
RPWNMLQLNHNFFCD98CA,坡道機械,700000,
RPQOMLOLNHNFFCD28CA,坡道平面,0,
RPUQMLOLNHNFFCD88CA,坡道平面,0,
RPUNMLQJOHNFFCD68CA,坡道平面,1200000,31.40
RPRNMLQJOHNFFCD38CA,坡道平面,1100000,31.40
RPXPMLQJOHNFFCD56CA,坡道機械,0,
RPRPMLQJOHNFFCD58CA,坡道平面,1200000,27.64
RPUPMLTKOHNFFCD66CA,坡道平面,1000000,35.54
RPROMLPLNHNFFID09CA,坡道平面,0,
RPUNMLQLNHNFFKD96CA,坡道平面,900000,40.45
RPWNMLQLNHNFFKD17CA,坡道平面,1100000,25.92
RPWOMLQLNHNFFKD27CA,坡道平面,1100000,25.92
RPVNMLQLNHNFFKD07CA,坡道平面,1000000,40.45
RPRPMLMKOHNFFKD09CA,坡道平面,0,
RPOPMLPKOHNFFKD09CA,坡道平面,0,35.70
RPOPMLPKOHNFFKD09CA,坡道機械,0,17.85
RPOOMLOLNHNFFCD18DA,升降機械,0,
RPUOMLLJOHNFFKD09CA,一樓平面,0,
RPXOMLLJOHNFFKD76CA,一樓平面,0,
RPUNMLLJOHNFFKD98CA,坡道平面,0,
RPXOMLQLNHNFFKD37CA,坡道平面,1000000,40.45
RPXPMLPLNHNFFKD37CA,坡道平面,0,
RPVOMLSLNHNFFKD37CA,坡道平面,0,
RPTNMLQLNHNFFKD86CA,坡道平面,900000,40.45
RPPOMLQLNHNFFKD56CA,坡道平面,900000,40.45
RPQOMLQLNHNFFKD66CA,坡道平面,1000000,40.45
RPROMLQLNHNFFKD76CA,坡道平面,1100000,25.92
RPROMLQLNHNFFKD76CA,坡道平面,1100000,25.92
RPSOMLQLNHNFFKD86CA,坡道平面,900000,40.45
RPUOMLQLNHNFFKD07CA,坡道平面,1000000,40.45
RPUOMLQLNHNFFKD07CA,坡道平面,1100000,25.92
RPTOMLQLNHNFFKD96CA,坡道平面,900000,40.45
RPPNMLRJOHNFFKD09CA,坡道機械,0,
RPPNMLQJOHNFFHD68CA,坡道平面,850000,27.57
RPPPMLQJOHNFFCD38CA,坡道平面,1300000,27.64
RPSPMLQJOHNFFCD68CA,坡道平面,1300000,27.64
RPTPMLQJOHNFFCD78CA,坡道平面,1300000,27.64
RPSNMLQJOHNFFCD48CA,坡道平面,1200000,31.40
RPTNMLQJOHNFFCD58CA,坡道平面,0,31.40
RPTNMLQJOHNFFCD58CA,坡道平面,0,31.40
RPQOMLQJOHNFFAD18CA,坡道機械,0,
RPSOMLRJOHNFFAD48CA,坡道平面,1200000,36.02
RPSOMLRJOHNFFAD48CA,坡道平面,1200000,36.02
RPSOMLRJOHNFFAD48CA,坡道平面,1200000,36.02
RPXNMLLJOHNFFAD28CA,坡道平面,0,24.11
RPOOMLLJOHNFFAD47CA,坡道平面,0,24.11
RPRRMLKMNHNFFAD18CA,坡道平面,0,24.22
RPRRMLKMNHNFFAD18CA,坡道平面,0,24.22
RPRRMLKMNHNFFAD18CA,坡道平面,0,24.22
RPRRMLKMNHNFFAD18CA,坡道平面,0,24.22
RPWNMLRJOHNFFAD78CA,坡道平面,0,
RPSQMLKMNHNFFAD18CA,坡道平面,1350000,24.11
RPXOMLRJOHNFFAD98CA,坡道平面,1200000,36.02
RPTOMLTLNHNFFAD88CA,坡道平面,0,
RPPNMLMKOHNFFAD67CA,坡道平面,0,24.80
RPXNMLTLNHNFFCD76CA,坡道平面,1080000,24.43
RPVOMLRJOHNFFAD78CA,坡道平面,1200000,33.75
RPWOMLQJOHNFFCD98CA,坡道平面,1200000,27.64
RPSNMLSLNHNFFHD66CA,坡道平面,0,
RPWOMLOKOHNFFHD76CA,坡道平面,0,
RPXNMLPKOHNFFHD86CA,坡道平面,700000,31.43
RPWOMLOKOHNFFID86CA,一樓平面,800000,
RPQNMLOJOHNFFID68CA,坡道平面,0,
RPPPMLQJOHNFFKD56CA,坡道平面,0,
RPQPMLQJOHNFFKD66CA,坡道平面,0,
RPVOMLKMNHNFFKD66CA,坡道機械,0,
RPRPMLQJOHNFFKD76CA,坡道平面,0,
RPXPMLQJOHNFFKD37CA,坡道平面,0,
RPOOMLRJOHNFFKD09CA,坡道平面,0,
RPWOMLLJOHNFFKD66CA,一樓平面,0,
RPTOMLQJOHNFFKD86CA,坡道平面,0,
RPRNMLTKOHNFFKD96CA,坡道平面,200000,
RPRNMLTKOHNFFKD96CA,坡道平面,250000,
RPRNMLTKOHNFFKD96CA,坡道平面,200000,
RPRNMLTKOHNFFKD96CA,坡道平面,0,
RPRNMLTKOHNFFKD96CA,坡道平面,0,
RPVOMLQJOHNFFKD07CA,坡道平面,0,
RPRNMLTLNHNFFID86DA,坡道平面,0,
RPROMLLMNHNFFKD98CA,坡道平面,750000,22.39
RPROMLKLOHNFFKD88CA,坡道平面,0,
RPSOMLPKOHNFFKD76CA,升降機械,400000,8.26
RPSOMLPKOHNFFKD76CA,升降機械,400000,8.26
RPXOMLSJOHNFFKD47CA,坡道平面,0,
RPTPMLLKOHNFFKD56CA,坡道平面,0,38.07
RPPQMLLKOHNFFKD88CA,坡道平面,0,38.07
RPQQMLLKOHNFFKD98CA,坡道平面,0,38.07
RPXPMLLKOHNFFKD96CA,坡道平面,0,38.07
RPRQMLLKOHNFFKD09CA,坡道平面,0,38.07
RPOQMLLKOHNFFKD78CA,坡道平面,0,38.07
RPVPMLLKOHNFFKD76CA,坡道平面,0,32.86
RPXNMLTLNHNFFKD57CA,坡道平面,900000,40.45
RPSPMLLKOHNFFKD09CA,坡道平面,0,32.86
RPPOMLPKOHNFFHD78CA,坡道平面,700000,31.43
RPQOMLPKOHNFFHD88CA,坡道平面,700000,31.43
RPSNMLTLNHNFFHD76CA,一樓平面,0,
RPSNMLTLNHNFFHD76CA,一樓平面,0,
RPSOMLTKOHNFFCD98CA,塔式車位,0,
RPWOMLKLOHNFFCD58CA,坡道機械,0,
RPSOMLTLNHNFFFD66CA,一樓平面,0,
RPSOMLTLNHNFFFD66CA,一樓平面,0,
RPPOMLTLNHNFFFD98CA,一樓平面,0,
RPOOMLTLNHNFFFD88CA,一樓平面,0,
RPOOMLTLNHNFFFD88CA,一樓平面,0,
RPXNMLTLNHNFFFD07CA,一樓平面,0,
RPXNMLTLNHNFFFD07CA,一樓平面,0,
RPQOMLTLNHNFFFD09CA,一樓平面,0,
RPWNMLTLNHNFFFD96CA,一樓平面,0,
RPWNMLTLNHNFFFD96CA,一樓平面,0,
RPROMLTLNHNFFFD56CA,一樓平面,0,
RPUNMLKMNHNFFCD28CA,坡道平面,1030000,24.43
RPQOMLTLNHNFFCD78CA,坡道平面,1080000,24.43
RPQPMLQJOHNFFCD48CA,坡道平面,1250000,27.64
RPTNMLRJOHNFFCD68CA,坡道平面,0,
RPQNMLTKOHNFFBD58CA,一樓平面,0,
RPTNMLSJOHNFFBD68CA,坡道平面,0,
