鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
仁德區,土地,興安段631~660地號,945.3,住,,,1070330,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40034547,42351,,0.0,0,,RPPNMLMJOHNFFID38CA
仁德區,房地(土地+建物),臺南市仁德區大甲里行大一街181~210號,17.2,住,,,1070404,土地1建物1車位0,二層,四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840309,28.04,1,0,1,有,無,540000,19258,,0.0,0,,RPQOMLRJOHNFFID09CA
仁德區,房地(土地+建物)+車位,臺南市仁德區德崙路77巷1~30號,34.93,住,,,1070508,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1070214,113.35999999999999,3,2,2,有,有,5350000,47195,一樓平面,0.0,800000,本車位為約定專用,RPWOMLOKOHNFFID86CA
關廟區,土地,龜洞段361~390地號,8545.0,,一般農業區,農牧用地,1070511,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11963000,1400,,0.0,0,,RPQOMLTKOHNFFID76CA
仁德區,房地(土地+建物),臺南市仁德區保安里中正路一段251巷25弄1~30號,95.35,住,,,1070518,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1060930,165.9,5,2,3,有,無,9000000,54250,,0.0,0,,RPXNMLKLOHNFFID56CA
永康區,土地,安康段571~600地號,119.72,住,,,1070423,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3600000,30070,,0.0,0,,RPSPMLSLNHNFFKD17CA
永康區,房地(土地+建物),臺南市永康區文賢街122巷1~30號,101.0,住,,,1070430,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1040202,274.61,4,2,4,有,無,15100000,54987,,0.0,0,,RPOQMLSLNHNFFKD86CA
永康區,房地(土地+建物),臺南市永康區大灣路495巷1~30號,90.89,住,,,1070409,土地4建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1051025,202.93,4,2,4,有,無,11000000,54206,,0.0,0,,RPQNMLTLNHNFFKD86CA
永康區,土地,永二段61~90地號,61.63,住,,,1070411,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2106000,34172,,0.0,0,,RPSOMLSLNHNFFKD07CA
永康區,房地(土地+建物),臺南市永康區東橋七路181~210號,14.86,住,,,1070329,土地1建物1車位0,七層,十六層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1061114,87.69,2,1,1,有,有,4280000,48808,,0.0,0,,RPVNMLSLNHNFFKD27CA
永康區,房地(土地+建物),臺南市永康區中正路256巷1~30號,20.33,住,,,1070505,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820824,112.84,3,2,2,有,有,3000000,26586,,0.0,0,,RPPQMLTLNHNFFKD07CA
永康區,土地,頂中段1~30地號,65.78,工,,,1070511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3382908,51428,,0.0,0,,RPUOMLKMNHNFFKD56CA
永康區,房地(土地+建物)+車位,臺南市永康區網寮里文化路128巷1~30號,23.88,住,,,1070427,土地1建物1車位1,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840109,136.01,3,2,2,有,有,5350000,39335,坡道機械,0.0,0,,RPVOMLKMNHNFFKD66CA
永康區,房地(土地+建物)+車位,臺南市永康區信義街33巷1~30號,37.0,住,,,1070508,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,見其他登記事項,1070109,124.64000000000001,3,2,2,有,有,6850000,54958,坡道平面,0.0,0,,RPTOMLQJOHNFFKD86CA
永康區,房地(土地+建物)+車位,臺南市永康區信義街33巷1~30號,30.39,住,,,1070508,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,見其他登記事項,1070109,102.37,2,1,1,有,有,5200000,50796,坡道平面,0.0,0,,RPVOMLQJOHNFFKD07CA
永康區,房地(土地+建物)+車位,臺南市永康區信義街33巷1~30號,37.0,住,,,1070423,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,見其他登記事項,1070109,124.64000000000001,3,2,2,有,有,6620000,53113,坡道平面,0.0,0,,RPPPMLQJOHNFFKD56CA
永康區,房地(土地+建物)+車位,臺南市永康區信義街33巷1~30號,37.0,住,,,1070415,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,見其他登記事項,1070109,124.64000000000001,3,2,2,有,有,6500000,52150,坡道平面,0.0,0,,RPQPMLQJOHNFFKD66CA
永康區,房地(土地+建物)+車位,臺南市永康區信義街33巷1~30號,31.25,住,,,1070508,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,見其他登記事項,1070109,105.25,2,1,1,有,有,5270000,50071,坡道平面,0.0,0,,RPRPMLQJOHNFFKD76CA
永康區,房地(土地+建物),臺南市永康區信義街33巷1~30號,28.22,住,,,1070508,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,見其他登記事項,1070109,95.27,2,1,1,有,有,4850000,50908,,0.0,0,,RPSPMLQJOHNFFKD86CA
永康區,房地(土地+建物),臺南市永康區信義街33巷1~30號,31.63,住,,,1070415,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,見其他登記事項,1070109,106.8,2,2,2,有,有,5650000,52903,,0.0,0,,RPTPMLQJOHNFFKD96CA
永康區,房地(土地+建物)+車位,臺南市永康區信義街33巷1~30號,32.7,住,,,1070323,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,見其他登記事項,1070109,110.4,3,2,2,有,有,5750000,52083,坡道平面,0.0,0,,RPXPMLQJOHNFFKD37CA
