鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額(元),單價(元/平方公尺),車位類別,車位面積(平方公尺),車位總額(元),備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area (square meter),the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price (Yuan),the unit price (a Yuan/square meter),the berth category,berth shifting total area (square meter),the berth total price (Yuan),the note,serial number
松山區,建物,臺北市松山區八德路二段366巷13弄1~30號,0.0,商,,,1070518,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),,加強磚造,,96.57,0,0,0,無,無,無,45000,466,,0.0,0,,RPUOMLLMNHNFFDA48CC
信義區,建物,臺北市信義區崇德街63巷1~30號,0.0,住,,,1070529,土地0建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010614,176.0,2,2,2,有,有,有,75000,426,坡道平面,52.78,0,,RPXOMLLMNHNFFDA78CC
信義區,房地(土地+建物),臺北市信義區松仁路271~300號,31.82,住,,,1070524,土地1建物1車位0,一層,4,店面(店鋪),住家用,鋼筋混凝土造,0640410,89.55,0,0,0,無,無,無,35000,391,,0.0,0,,RPOPMLLMNHNFFDA97CC
信義區,建物,臺北市信義區基隆路二段1~30號,0.0,商,,,1070503,土地0建物1車位0,三層,12,辦公商業大樓,商業用,鋼筋混凝土造,,73.9,2,2,1,有,有,有,34800,471,,0.0,0,含管理費,RPPPMLLMNHNFFDA08CC
信義區,建物,臺北市信義區嘉興街241~270號,0.0,住,,,1070505,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0800611,87.02000000000001,3,2,1,有,有,有,28000,322,,0.0,0,,RPQPMLLMNHNFFDA18CC
萬華區,建物,臺北市萬華區德昌街154巷1~30號,0.0,住,,,1070528,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660403,86.81,3,1,1,有,無,無,15000,173,,0.0,0,,RPWNMLLMNHNFFBA38CC
大同區,建物,臺北市大同區承德路一段61~90號,0.0,商,,,1070517,土地0建物1車位0,一層,13,店面(店鋪),見其他登記事項,鋼筋混凝土造,0971003,94.59,0,0,0,無,有,無,50000,529,,0.0,0,,RPPOMLLMNHNFFBA77CC
大同區,建物,臺北市大同區華陰街61~90號,0.0,商,,,1070521,土地0建物1車位0,一層,13,店面(店鋪),見其他登記事項,鋼筋混凝土造,1020118,97.09,0,0,0,無,無,無,73000,752,,0.0,0,,RPVPMLLMNHNFFBA48CC
內湖區,建物,臺北市內湖區康寧路三段181~210號,0.0,商,,,1070529,土地0建物1車位0,六層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041030,82.9,2,1,1,有,有,有,30000,362,,0.0,0,,RPQNMLLMNHNFFCA87CC
中山區,建物,臺北市中山區中山北路二段93巷1~30號,0.0,住,,,1070528,土地0建物1車位0,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860718,196.58,2,2,2,有,無,有,47000,239,,0.0,0,,RPSNMLLMNHNFFCA08CC
內湖區,建物,臺北市內湖區內湖路三段60巷1~30號,0.0,住,,,1070526,土地0建物1車位0,六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060407,189.5,3,2,2,有,有,有,52000,274,,0.0,0,,RPUNMLLMNHNFFCA28CC
中山區,建物,臺北市中山區民權東路三段1~30號,0.0,商,,,1070503,土地0建物1車位0,五層,16,辦公商業大樓,商業用,見使用執照,0920423,2168.78,0,0,0,無,有,無,1273428,587,,0.0,0,,RPXOMLLMNHNFFCA68CC
中山區,建物,臺北市中山區中山北路二段16巷1~30號,0.0,住,,,1070523,土地0建物1車位0,一層,5,店面(店鋪),住家用,鋼筋混凝土造,0601207,235.06,0,1,1,有,有,有,108000,459,,0.0,0,,RPPPMLLMNHNFFCA97CC
中山區,建物,臺北市中山區中山北路一段121巷31~60號,0.0,商,,,1070504,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000128,99.96000000000001,2,1,1,有,有,有,60000,600,,0.0,0,,RPQPMLLMNHNFFCA08CC
中山區,建物,臺北市中山區南京東路二段91~120號,0.0,商,,,1070502,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0670111,263.81,0,0,0,無,有,有,85000,322,,0.0,0,,RPTPMLLMNHNFFCA38CC
中山區,房地(土地+建物)+車位,臺北市中山區植福路301~330號,61.87,其他,,,1070522,土地1建物1車位1,七層,10,辦公商業大樓,見其他登記事項,見其他登記事項,1041027,320.49,0,0,0,無,有,有,155000,484,坡道平面,2.89,0,,RPVPMLLMNHNFFCA58CC
北投區,建物,臺北市北投區明德路267巷1~30號,0.0,住,,,1070528,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690728,122.88,3,2,2,有,有,有,34000,277,,0.0,0,,RPTOMLLMNHNFFEA48CC
大安區,建物,臺北市大安區安和路一段31~60號,0.0,其他,,,1070529,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,56.99,2,2,1,有,有,有,28000,491,,0.0,0,,RPXPMLLMNHNFFFA09CC
大安區,建物,臺北市大安區和平東路一段199巷1~30號,0.0,住,,,1070515,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,,125.84,1,2,1,有,無,無,60000,477,,0.0,0,,RPOQMLLMNHNFFFA28CC
大安區,建物,臺北市大安區仁愛路四段151巷1~30號,0.0,住,,,1070507,土地0建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790220,146.35,3,2,2,有,有,有,50000,342,,0.0,0,含管理費,RPQQMLLMNHNFFFA48CC
大安區,建物,臺北市大安區信義路三段121~150號,0.0,商,,,1070521,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住商用,加強磚造,,117.87,0,1,1,有,無,無,53000,450,,0.0,0,含稅,RPSQMLLMNHNFFFA68CC
大安區,建物,臺北市大安區浦城街6巷1~30號,0.0,住,,,1070503,土地0建物2車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951107,70.38,3,2,3,有,無,有,42500,604,,0.0,0,,RPXQMLLMNHNFFFA56CC
