編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLMLNHNFFDN66CC,44,15.00,住家用,鋼筋混凝土加強磚造,63年2月18日,二層,
RPROMLMLNHNFFAN56CC,34,94.08,住家用,加強磚造,73年8月24日,二層,
RPPNMLMLNHNFFDN56CC,23,53.22,見其他登記事項,鋼筋混凝土造,84年8月21日,十六層,
RPTNMLNLNHNFFAN76CC,27,84.74,住家用,鋼筋混凝土造,80年9月19日,十層,
RPTNMLNLNHNFFAN76CC,27,12.14,見其他登記事項,鋼筋混凝土造,80年9月19日,十層,
RPTNMLNLNHNFFAN76CC,27,8.47,見其他登記事項,鋼筋混凝土造,80年9月19日,十層,
