編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLPLNHNFFBA58CC,40,67.41,住家用,鋼筋混凝土造,67年1月30日,十一層,
RPVNMLPLNHNFFBA58CC,40,89.14,住家用,鋼筋混凝土造,67年1月30日,十一層,
RPVNMLPLNHNFFBA58CC,40,136.61,住家用,鋼筋混凝土造,67年1月30日,十一層,
RPVNMLPLNHNFFBA58CC,40,.00,見其他登記事項,鋼筋混凝土造,67年1月30日,十一層,
RPOPMLPLNHNFFEA38CC,55,198.96,住家用,加強磚造,52年6月1日,一層,
RPSNMLPLNHNFFAA18CC,,98.39,住商用,鋼筋混凝土造,,五層,
RPRNMLQLNHNFFCA38CC,14,96.67,商業用,鋼筋混凝土造,93年10月5日,十層,
RPRNMLQLNHNFFCA38CC,14,5.38,共有部分,鋼筋混凝土造,93年10月5日,十層,
RPRNMLQLNHNFFCA38CC,14,15.44,共有部分,鋼筋混凝土造,93年10月5日,十層,
RPRNMLQLNHNFFCA38CC,14,16.87,共有部分,鋼筋混凝土造,93年10月5日,十層,
RPRNMLQLNHNFFCA38CC,14,43.86,共有部分,鋼筋混凝土造,93年10月5日,十層,
RPXOMLPLNHNFFEA56CC,11,168.41,住家用,鋼筋混凝土造,96年10月9日,五層,
RPXOMLPLNHNFFEA56CC,11,63.04,共有部分,鋼筋混凝土造,96年10月9日,五層,
RPXOMLPLNHNFFEA56CC,11,123.06,共有部分,鋼筋混凝土造,96年10月9日,五層,
RPUPMLPLNHNFFEA98CC,15,167.48,住家用,鋼筋混凝土造,92年3月31日,十四層,
RPUPMLPLNHNFFEA98CC,15,12.88,共有部分,鋼筋混凝土造,92年3月31日,十四層,
RPUPMLPLNHNFFEA98CC,15,28.58,共有部分,鋼筋混凝土造,92年3月31日,十四層,
RPUPMLPLNHNFFEA98CC,15,4.83,共有部分,鋼筋混凝土造,92年3月31日,十四層,
RPUPMLPLNHNFFEA98CC,15,8.74,共有部分,鋼筋混凝土造,92年3月31日,十四層,
RPUPMLPLNHNFFEA98CC,15,40.69,共有部分,鋼筋混凝土造,92年3月31日,十四層,
RPWNMLSLNHNFFEA66CC,40,369.19,見使用執照,鋼筋混凝土造,67年1月9日,四層,
RPPNMLRLNHNFFEA48CC,9,138.48,住家用,鋼筋混凝土造,98年7月7日,十二層,
RPPNMLRLNHNFFEA48CC,9,56.69,共有部分,鋼筋混凝土造,98年7月7日,十二層,
RPXOMLSLNHNFFEA86CC,22,155.13,住家用,鋼筋混凝土造,85年6月24日,十二層,
