編號,屋齡,建物移轉面積(平方公尺),主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area (square meter),the main use,main building materials,construction completes the date,total layer,building lamination
RPVOMLPLNHNFFAU77CA,32,96.80,住家用,鋼筋混凝土造,75年7月30日,二層,一層 二層
RPPNMLLJOHNFFAU56CA,2,284.27,住家用,鋼筋混凝土造,105年8月24日,四層,一層 二層 三層 四層 屋頂突出物 見其他登記事項
RPQNMLKMNHNFFAU76CA,1,267.34,住家用,鋼筋混凝土造,106年5月22日,四層,一層 二層 三層 四層 見其他登記事項
RPWNMLLJOHNFFAU27CA,17,221.32,住商用,鋼筋混凝土造,90年5月17日,四層,一層 二層 三層 四層 騎樓
RPUNMLSLNHNFFAU87CA,33,230.62,住商用,鋼筋混凝土造,74年7月24日,三層,一層 二層 三層 屋頂突出物 騎樓 地下層
RPPOMLLLOHNFFAU86CA,39,47.06,住家用,鋼筋混凝土加強磚造,68年9月22日,一層,一層
RPROMLLKOHNFFAU96CA,37,83.79,住家用,鋼筋混凝土加強磚造,69年11月5日,二層,一層 二層
RPPNMLKMNHNFFBU76CA,34,91.21,住商用,鋼筋混凝土造,73年1月14日,四層,一層 二層 騎樓
RPPNMLKMNHNFFBU76CA,34,6.80,見其他登記事項,鋼筋混凝土造,73年1月14日,四層,
RPOPMLSJOHNFFAU37CA,2,196.83,住家用,鋼筋混凝土造,105年2月4日,四層,一層 二層 三層 四層
RPQNMLPJOHNFFAU07CA,26,29.60,住家用,鋼筋混凝土造,81年3月3日,五層,三層
RPQNMLPJOHNFFAU07CA,26,5.01,共有部份,鋼筋混凝土造,81年3月3日,五層,
RPUOMLTKOHNFFAU08CA,41,103.18,住家用,鋼筋混凝土加強磚造,65年10月23日,二層,一層 二層
RPRNMLSLNHNFFCU77CA,,290.09,住家用,鋼筋混凝土造,107年3月29日,四層,一層 二層 三層 四層
RPVNMLPLOHNFFAU77CA,3,231.06,住家用,鋼筋混凝土造,104年10月7日,四層,一層 二層 三層 四層
